objectid,parentid,object_location,title,item_type,date,owner_firstname,manufacturer,vendor,description,items_available,subject,location,format,display_template,image_small,image_thumb
sl0008,rd0008,https://i.ibb.co/JW648B9j/sl0008-ae-2026-04-11.jpg,Butterfly seal,StillImage,,Anneliese,,,,,,,image/jpeg,image,/objects/small/sl0008_ae_2026-04-11_sm.jpg,/objects/thumbs/sl0008_ae_2026-04-11_th.jpg
st0008,rd0008,https://i.ibb.co/q3r6XZrD/st0008-ae-2026-03-27.jpg,Butterfly stamp,StillImage,,Anneliese,Made of Honour,Made of Honour,,,,AE_house,image/jpeg,image,/objects/small/st0008_ae_2026-03-27_sm.jpg,/objects/thumbs/st0008_ae_2026-03-27_th.jpg
rd0009,,,Skull Cave,record,,Anneliese,VintageSealCo,Etsy,,1,bones;skulls;caves,,image/jpeg,multiple,/objects/small/sl0009_ae_2026-04-11_sm.jpg,/objects/thumbs/sl0009_ae_2026-04-11_th.jpg
sl0009,rd0009,https://i.ibb.co/xKgyGrMd/sl0009-ae-2026-04-11.jpg,Skull Cave seal,StillImage,,Anneliese,,,,,,,image/jpeg,image,/objects/small/sl0009_ae_2026-04-11_sm.jpg,/objects/thumbs/sl0009_ae_2026-04-11_th.jpg
st0009,rd0009,https://i.ibb.co/QFz5vmKg/st0009-ae-2026-03-27.jpg,Skull Cave stamp,StillImage,,Anneliese,VintageSealCo,Etsy,,,,AE_house,image/jpeg,image,/objects/small/st0009_ae_2026-03-27_sm.jpg,/objects/thumbs/st0009_ae_2026-03-27_th.jpg
rd0010,,,Xmas goose,record,2025,Anneliese,Made of Honour,Made of Honour,,1,geese;winter;Christmas,,image/jpeg,multiple,/objects/small/sl0010_ae_2026-04-11_sm.jpg,/objects/thumbs/sl0010_ae_2026-04-11_th.jpg
sl0010,rd0010,https://i.ibb.co/XrfcrzQk/sl0010-ae-2026-04-11.jpg,Xmas goose seal,StillImage,,Anneliese,,,,,,,image/jpeg,image,/objects/small/sl0010_ae_2026-04-11_sm.jpg,/objects/thumbs/sl0010_ae_2026-04-11_th.jpg
st0010,rd0010,https://i.ibb.co/LXD9Hyfq/st0010-ae-2026-03-27.jpg,Xmas goose stamp,StillImage,2025,Anneliese,Made of Honour,Made of Honour,,,,AE_house,image/jpeg,image,/objects/small/st0010_ae_2026-03-27_sm.jpg,/objects/thumbs/st0010_ae_2026-03-27_th.jpg
rd0011,,,Dinosaur skull,record,,Anneliese,VintageSealCo,Etsy,,1,dinosaurs;bones;skulls,,image/jpeg,multiple,/objects/small/sl0011_ae_2026-04-11_sm.jpg,/objects/thumbs/sl0011_ae_2026-04-11_th.jpg
sl0011,rd0011,https://i.ibb.co/twThn3h5/sl0011-ae-2026-04-11.jpg,Dinosaur skull seal,StillImage,,Anneliese,,,,,,,image/jpeg,image,/objects/small/sl0011_ae_2026-04-11_sm.jpg,/objects/thumbs/sl0011_ae_2026-04-11_th.jpg
st0011,rd0011,https://i.ibb.co/xtWw4Jjr/st0011-ae-2026-03-27.jpg,Dinosaur skull stamp,StillImage,,Anneliese,VintageSealCo,Etsy,,,,AE_house,image/jpeg,image,/objects/small/st0011_ae_2026-03-27_sm.jpg,/objects/thumbs/st0011_ae_2026-03-27_th.jpg
rd0012,,,Laurel wreath,record,,Anneliese,Recollections,Michael's,,1,laurel;wreaths,,image/jpeg,multiple,/objects/small/sl0012_ae_2026-04-11_sm.jpg,/objects/thumbs/sl0012_ae_2026-04-11_th.jpg
sl0012,rd0012,https://i.ibb.co/N6wxzfMZ/sl0012-ae-2026-04-11.jpg,Laurel wreath seal,StillImage,,Anneliese,,,,,,,image/jpeg,image,/objects/small/sl0012_ae_2026-04-11_sm.jpg,/objects/thumbs/sl0012_ae_2026-04-11_th.jpg
st0012,rd0012,https://i.ibb.co/pjwbLfMD/st0012-ae-2026-03-27.jpg,Laurel wreath stamp,StillImage,,Anneliese,Recollections,Michael's,,,,AE_house,image/jpeg,image,/objects/small/st0012_ae_2026-03-27_sm.jpg,/objects/thumbs/st0012_ae_2026-03-27_th.jpg
rd0013,,,Ghostie,record,,Anneliese,VintageSealCo,Etsy,,1,ghosts;Halloween,,image/jpeg,multiple,/objects/small/sl0013_ae_2026-04-11_sm.jpg,/objects/thumbs/sl0013_ae_2026-04-11_th.jpg
sl0013,rd0013,https://i.ibb.co/Sw47T5X8/sl0013-ae-2026-04-11.jpg,Ghostie seal,StillImage,,Anneliese,,,,,,,image/jpeg,image,/objects/small/sl0013_ae_2026-04-11_sm.jpg,/objects/thumbs/sl0013_ae_2026-04-11_th.jpg
st0013,rd0013,https://i.ibb.co/B2WGs1fb/st0013-ae-2026-03-27.jpg,Ghostie stamp,StillImage,,Anneliese,VintageSealCo,Etsy,,,,AE_house,image/jpeg,image,/objects/small/st0013_ae_2026-03-27_sm.jpg,/objects/thumbs/st0013_ae_2026-03-27_th.jpg
rd0014,,,Ginkgo,record,,Anneliese,ArtesCraftSupplies,Etsy,,1,plants;ginkgo,,image/jpeg,multiple,/objects/small/sl0014_ae_2026-04-11_sm.jpg,/objects/thumbs/sl0014_ae_2026-04-11_th.jpg
sl0014,rd0014,https://i.ibb.co/WbM8ZfX/sl0014-ae-2026-04-11.jpg,Ginkgo seal,StillImage,,Anneliese,,,,,,,image/jpeg,image,/objects/small/sl0014_ae_2026-04-11_sm.jpg,/objects/thumbs/sl0014_ae_2026-04-11_th.jpg
st0014,rd0014,https://i.ibb.co/hJBKq9xV/st0014-ae-2026-03-27.jpg,Ginkgo stamp,StillImage,,Anneliese,ArtesCraftSupplies,Etsy,,,,AE_house,image/jpeg,image,/objects/small/st0014_ae_2026-03-27_sm.jpg,/objects/thumbs/st0014_ae_2026-03-27_th.jpg
rd0015,,,Goose,record,,Anneliese,Made of Honour,Made of Honour,,1,geese,,image/jpeg,multiple,/objects/small/sl0015_ae_2026-04-11_sm.jpg,/objects/thumbs/sl0015_ae_2026-04-11_th.jpg
