objectid,parentid,object_location,title,item_type,date,owner_firstname,manufacturer,vendor,description,item_information,subject,location,format,identifier,display_template,image_small,image_thumb
st0023,rd0115,/objects/st0023_ae_2026-03-27.jpg,Skeleton hand rose,StillImage,,Anneliese,VintageSealCo,Etsy,,,,AE_house,image/jpeg,,image,/objects/small/st0023_ae_2026-03-27_sm.jpg,/objects/thumbs/st0023_ae_2026-03-27_th.jpg
st0024,rd0116,/objects/st0024_ae_2026-03-27.jpg,Ribcage,StillImage,,Anneliese,VintageSealCo,Etsy,,,,AE_house,image/jpeg,,image,/objects/small/st0024_ae_2026-03-27_sm.jpg,/objects/thumbs/st0024_ae_2026-03-27_th.jpg
st0025,rd0117,/objects/st0025_ae_2026-03-27.jpg,Snowman,StillImage,,Anneliese,ArtesCraftSupplies,Etsy,,,,AE_house,image/jpeg,,image,/objects/small/st0025_ae_2026-03-27_sm.jpg,/objects/thumbs/st0025_ae_2026-03-27_th.jpg
st0026,rd0118,/objects/st0026_ae_2026-03-27.jpg,Spider web,StillImage,,Anneliese,Made of Honour,Made of Honour,,,,AE_house,image/jpeg,,image,/objects/small/st0026_ae_2026-03-27_sm.jpg,/objects/thumbs/st0026_ae_2026-03-27_th.jpg
st0027,rd0119,/objects/st0027_ae_2026-03-27.jpg,Winter cabin,StillImage,,Anneliese,ArtesCraftSupplies,Etsy,,,,AE_house,image/jpeg,,image,/objects/small/st0027_ae_2026-03-27_sm.jpg,/objects/thumbs/st0027_ae_2026-03-27_th.jpg
st0028,rd0120,/objects/st0028_ae_2026-03-27.jpg,Cat ghostie,StillImage,,Anneliese,Made of Honour,Made of Honour,,,,AE_house,image/jpeg,,image,/objects/small/st0028_ae_2026-03-27_sm.jpg,/objects/thumbs/st0028_ae_2026-03-27_th.jpg
st0029,rd0121,/objects/st0029_ae_2026-03-27.jpg,Octopus,StillImage,,Anneliese,VintageSealCo,Etsy,,,,AE_house,image/jpeg,,image,/objects/small/st0029_ae_2026-03-27_sm.jpg,/objects/thumbs/st0029_ae_2026-03-27_th.jpg
st0030,rd0122,/objects/st0030_ae_2026-03-27.jpg,Skull lover,StillImage,,Anneliese,AmyWeddingSupplies,Etsy,,,,AE_house,image/jpeg,,image,/objects/small/st0030_ae_2026-03-27_sm.jpg,/objects/thumbs/st0030_ae_2026-03-27_th.jpg
st0031,rd0123,/objects/st0031_ae_2026-03-27.jpg,Rose skull,StillImage,,Anneliese,EmilyCraftSupplies,Etsy,,,,AE_house,image/jpeg,,image,/objects/small/st0031_ae_2026-03-27_sm.jpg,/objects/thumbs/st0031_ae_2026-03-27_th.jpg
st0032,rd0124,/objects/st0032_ae_2026-03-27.jpg,Snowflakes,StillImage,,Anneliese,ArtesCraftSupplies,Etsy,,,,AE_house,image/jpeg,,image,/objects/small/st0032_ae_2026-03-27_sm.jpg,/objects/thumbs/st0032_ae_2026-03-27_th.jpg
st0033,rd0125,/objects/st0033_ae_2026-05-02.jpg,Strawberries,StillImage,,Anneliese,Made of Honour,Made of Honour,,,,AE_house,image/jpeg,,image,/objects/small/st0033_ae_2026-05-02_sm.jpg,/objects/thumbs/st0033_ae_2026-05-02_th.jpg
st0034,rd0126,https://www.tumblr.com/annieeee-stamps-and-seals/816067040743981056,Brain jellyfish,StillImage,,Anneliese,VintageSealCo,Etsy,,,,AE_house,image/jpeg,,image,/objects/small/st0034_ae_2026-05-02_sm.jpg,/objects/thumbs/st0034_ae_2026-05-02_th.jpg
st0035,rd0127,/objects/st0035_ae_2026-05-02.jpg,Pile of bones,StillImage,,Anneliese,VintageSealCo,Etsy,,,,AE_house,image/jpeg,,image,/objects/small/st0035_ae_2026-05-02_sm.jpg,/objects/thumbs/st0035_ae_2026-05-02_th.jpg
